id,latitude,longitude,location,vehicle_number,vehicle_type,description,violation_type,offence_code,created_datetime,closed_datetime,modified_datetime,device_id,created_by_id,center_code,police_station,data_sent_to_scita,junction_name,action_taken_timestamp,data_sent_to_scita_timestamp,updated_vehicle_number,updated_vehicle_type,validation_status,validation_timestamp
FKID142203,12.9371716,77.6271151,"Srinivagilu Main Road, Sony World Junction, Koramangala, Bengaluru, Karnataka. Pin-560034 (India)",FKN00GL118473,SCOOTER,,"[""WRONG PARKING""]",[112],2024-03-05 07:07:46+00,,2024-03-05 07:09:09.971768+00,FKDEV01235,FKUSR01181,5.0,Adugodi,True,No Junction,,,,,,
FKID174180,12.9350493,77.6159015,"1st Cross Road, KHB Colony, Block 5, Koramangala, Bengaluru, Karnataka. Pin-560095 (India)",FKN00GL143835,SCOOTER,,"[""NO PARKING""]",[113],2023-12-11 06:14:46+00,,2023-12-11 09:25:47.627839+00,FKDEV01387,FKUSR01321,5.0,Adugodi,True,BTP135 - UCO Bank Junction,,,FKN00GL143835,SCOOTER,approved,2023-12-11 19:13:32.976+00
FKID197806,12.9320078,77.632046,"Srinivagilu Main Road, ST Bed Layout Extension, Block 4, Koramangala, Bengaluru, Karnataka. Pin-560034 (India)",FKN00GL161854,MOTOR CYCLE,,"[""NO PARKING""]",[113],2023-12-22 20:56:46+00,,2023-12-22 20:59:56.919893+00,FKDEV01314,FKUSR01253,5.0,Adugodi,True,No Junction,,,FKN00GL161854,MOTOR CYCLE,rejected,2023-12-22 21:53:24.155+00
FKID121287,12.9362509,77.6168119,"17th Main Road, KHB Colony, Block 5, Koramangala, Bengaluru, Karnataka. Pin-560095 (India)",FKN00GL101447,CAR,,"[""NO PARKING""]",[113],2024-03-24 21:20:46+00,,2024-03-24 21:24:39.496599+00,FKDEV01314,FKUSR01253,5.0,Adugodi,True,No Junction,,2024-04-11 15:51:16.810244+00,,,,
FKID072025,12.93487,77.6232433,"17th A Main Road, Kottalapalya, Bengaluru, Karnataka. Pin-560095 (India)",FKN00GL62707,SCOOTER,,"[""NO PARKING""]",[113],2024-02-26 00:26:46+00,,2024-02-26 00:42:59.107546+00,FKDEV02200,FKUSR01855,5.0,Adugodi,True,No Junction,,,,,,
FKID068209,12.9360192,77.6155168,"20th Main Road, Block 7, Koramangala, Bengaluru, Karnataka. Pin-560095 (India)",FKN00GL49617,CAR,,"[""NO PARKING""]",[113],2024-02-24 10:44:46+00,,2024-02-24 10:46:33.139531+00,FKDEV00285,FKUSR00284,5.0,Adugodi,True,BTP135 - UCO Bank Junction,,,,,,
FKID224586,12.9358104,77.6152115,"20th Main Road, Block 7, Koramangala, Bengaluru, Karnataka. Pin-560095 (India)",FKN00GL181575,SCOOTER,,"[""WRONG PARKING""]",[112],2024-01-06 10:31:46+00,,2024-01-06 10:37:52.878697+00,FKDEV02956,FKUSR02583,5.0,Adugodi,True,BTP135 - UCO Bank Junction,,,FKN00GL181575,SCOOTER,approved,2024-01-06 21:45:58.619+00
FKID068271,12.9359883,77.6154994,"20th Main Road, Block 7, Koramangala, Bengaluru, Karnataka. Pin-560095 (India)",FKN00GL59542,CAR,,"[""NO PARKING""]",[113],2024-02-24 11:55:46+00,,2024-02-24 12:00:50.941024+00,FKDEV00285,FKUSR00284,5.0,Adugodi,True,BTP135 - UCO Bank Junction,,,,,,
FKID021454,12.9331577,77.631157,"Srinivagilu Main Road, ST Bed Layout Extension, Block 4, Koramangala, Bengaluru, Karnataka. Pin-560034 (India)",FKN00GL20110,MOTOR CYCLE,,"[""NO PARKING""]",[113],2024-02-05 04:45:46+00,,2024-02-05 05:53:13.916845+00,FKDEV01314,FKUSR01253,5.0,Adugodi,True,No Junction,,,,,,
FKID121072,12.9350948,77.6118418,"Hosur Road, Robert Bosch, Block 7, Koramangala, Bengaluru, Karnataka. Pin-560095 (India)",FKN00GL101264,MAXI-CAB,,"[""NO PARKING"",""WRONG PARKING"",""PARKING IN A MAIN ROAD""]","[113,112,107]",2024-03-24 07:27:46+00,,2024-03-24 07:29:46.022151+00,FKDEV01406,FKUSR01440,5.0,Adugodi,True,BTP135 - UCO Bank Junction,,2024-04-11 02:33:43.201483+00,,,,
FKID067195,12.9400805,77.6093406,"Hosur Road, Maha Ligeshwara Layout, Adugodi, Bengaluru, Karnataka. Pin-560030 (India)",FKN00GL58651,SCOOTER,,"[""WRONG PARKING""]",[112],2024-02-17 21:42:46+00,,2024-02-17 21:46:27.593564+00,FKDEV01091,FKUSR01041,5.0,Adugodi,True,BTP133 - Adugodi Junction,,,,,,
FKID194550,12.9342508,77.6164943,"1st Cross Road, KHB Colony, Block 5, Koramangala, Bengaluru, Karnataka. Pin-560095 (India)",FKN00GL159481,MOTOR CYCLE,,"[""WRONG PARKING""]",[112],2023-12-18 22:24:46+00,,2023-12-18 22:29:23.166833+00,FKDEV02490,FKUSR00725,5.0,Adugodi,True,BTP140 - Madiwala Check Post,,,FKN00GL159481,SCOOTER,approved,2023-12-20 00:26:48.198+00
FKID186540,12.9402273,77.609317,"Hosur Road, ML Colony, Adugodi, Bengaluru, Karnataka. Pin-560030 (India)",FKN00GL153286,CAR,,"[""NO PARKING""]",[113],2023-11-14 22:12:46+00,,2023-11-23 21:12:09.593905+00,FKDEV01546,FKUSR01465,5.0,Adugodi,True,BTP133 - Adugodi Junction,,,FKN00GL153286,CAR,approved,2023-11-24 23:17:12.682+00
FKID088873,12.9379673,77.6186314,"20th Main Road, KHB Colony, Block 5, Koramangala, Bengaluru, Karnataka. Pin-560095 (India)",FKN00GL76293,CAR,,"[""NO PARKING"",""WRONG PARKING"",""PARKING IN A MAIN ROAD""]","[113,112,107]",2024-03-20 20:50:46+00,,2024-03-20 21:00:09.26998+00,FKDEV01406,FKUSR01440,5.0,Adugodi,True,No Junction,,2024-04-07 19:24:33.723333+00,,,,
FKID104945,12.9347186,77.6160237,"1st Cross Road, KHB Colony, Block 5, Koramangala, Bengaluru, Karnataka. Pin-560095 (India)",FKN00GL88957,CAR,,"[""NO PARKING""]",[113],2024-03-13 04:23:46+00,,2024-03-13 05:11:55.973821+00,FKDEV00237,FKUSR00236,5.0,Adugodi,True,BTP135 - UCO Bank Junction,,2024-03-30 19:09:54.710801+00,FKN00GL88957,CAR,rejected,2024-04-05 01:48:08.94+00
FKID103373,12.932503,77.6318727,"Srinivagilu Main Road, ST Bed Layout Extension, Block 4, Koramangala, Bengaluru, Karnataka. Pin-560034 (India)",FKN00GL19999,CAR,,"[""NO PARKING""]",[113],2024-03-12 06:12:46+00,,2024-03-12 06:22:35.107558+00,FKDEV00237,FKUSR00236,5.0,Adugodi,False,No Junction,,,,,,
FKID116759,12.9329004,77.631406,"Srinivagilu Main Road, ST Bed Layout Extension, Block 4, Koramangala, Bengaluru, Karnataka. Pin-560034 (India)",FKN00GL97892,MOTOR CYCLE,,"[""NO PARKING""]",[113],2024-02-09 23:27:46+00,,2024-02-09 23:29:26.379412+00,FKDEV01314,FKUSR01253,5.0,Adugodi,True,No Junction,,,FKN00GL97892,MOTOR CYCLE,rejected,2024-03-23 23:09:44.366+00
FKID130247,12.9404928,77.6201554,"1st A Main Road, Block 8, Koramangala, Bengaluru, Karnataka. Pin-560095 (India)",FKN00GL108624,SCOOTER,,"[""WRONG PARKING""]",[112],2024-03-27 22:05:46+00,,2024-03-27 22:11:03.555088+00,FKDEV00752,FKUSR00725,5.0,Adugodi,True,No Junction,,2024-04-14 16:43:23.432866+00,,,,
FKID188197,12.936932,77.6054609,"Campus Road, CC Layout, Adugodi, Bengaluru, Karnataka. Pin-560029 (India)",FKN00GL152478,CAR,,"[""NO PARKING""]",[113],2023-12-15 01:49:46+00,,2023-12-16 21:12:51.040967+00,FKDEV00538,FKUSR00527,5.0,Adugodi,False,BTP126 - Dairy Circle,,,,,,
FKID048710,12.9408287,77.6204016,"20th Main Road, Block 8, Koramangala, Bengaluru, Karnataka. Pin-560095 (India)",FKN00GL43579,CAR,,"[""WRONG PARKING""]",[112],2024-04-02 08:08:46+00,,2024-04-02 08:12:25.409474+00,FKDEV00752,FKUSR00725,5.0,Adugodi,False,No Junction,,,,,,
FKID062067,12.9306164,77.6330871,"Srinivagilu Main Road, Block 1, Koramangala, Bengaluru, Karnataka. Pin-560034 (India)",FKN00GL54594,SCOOTER,,"[""NO PARKING""]",[113],2024-02-22 06:05:46+00,,2024-02-22 06:11:18.363822+00,FKDEV00998,FKUSR00957,5.0,Adugodi,True,No Junction,,,,,,
FKID010074,12.9330445,77.6311229,"Srinivagilu Main Road, ST Bed Layout Extension, Block 4, Koramangala, Bengaluru, Karnataka. Pin-560034 (India)",FKN00GL9522,MOTOR CYCLE,,"[""NO PARKING""]",[113],2024-01-31 23:36:46+00,,2024-01-31 23:38:26.868968+00,FKDEV00237,FKUSR00236,5.0,Adugodi,True,No Junction,,,FKN00GL9522,MOTOR CYCLE,approved,2024-02-01 23:34:31.274+00
FKID069292,12.9320022,77.632048,"Srinivagilu Main Road, ST Bed Layout Extension, Block 4, Koramangala, Bengaluru, Karnataka. Pin-560034 (India)",FKN00GL60390,MOTOR CYCLE,,"[""NO PARKING""]",[113],2024-02-24 22:30:46+00,,2024-02-24 22:34:05.820855+00,FKDEV01314,FKUSR01253,5.0,Adugodi,True,No Junction,,,,,,
FKID215477,12.9340754,77.6167859,"1st Cross Road, KHB Colony, Block 5, Koramangala, Bengaluru, Karnataka. Pin-560095 (India)",FKN00GL175043,SCOOTER,,"[""WRONG PARKING""]",[112],2023-12-31 12:53:46+00,,2023-12-31 12:55:24.531797+00,FKDEV00374,FKUSR00370,5.0,Adugodi,True,BTP140 - Madiwala Check Post,,,FKN00GL175043,SCOOTER,approved,2023-12-31 18:54:05.598+00
FKID021277,12.9337897,77.6303642,"Srinivagilu Main Road, Maharaja Junction, Koramangala, Bengaluru, Karnataka. Pin-560034 (India)",FKN00GL19951,CAR,,"[""NO PARKING""]",[113],2024-02-05 04:40:46+00,,2024-02-05 04:48:56.823736+00,FKDEV01314,FKUSR01253,5.0,Adugodi,True,No Junction,,,,,,
FKID107912,12.9272737,77.6334,"80 Feet Road, Block 1A, Koramangala, Bengaluru, Karnataka. Pin-560034 (India)",FKN00GL91075,PASSENGER AUTO,,"[""NO PARKING""]",[113],2024-03-16 05:18:46+00,,2024-03-16 06:13:54.850874+00,FKDEV02043,FKUSR01894,5.0,Adugodi,True,No Junction,,2024-04-03 02:16:26.95094+00,,,,
FKID185293,12.9370065,77.6054469,"Hosur Road, Prestige Blue Chip Software Park, Dairy Colony, Adugodi, Bengaluru, Karnataka. Pin-560029 (India)",FKN00GL152342,CAR,,"[""NO PARKING""]",[113],2023-12-16 21:18:46+00,,2023-12-16 21:31:53.185707+00,FKDEV00538,FKUSR00527,5.0,Adugodi,True,BTP126 - Dairy Circle,,,FKN00GL152342,CAR,approved,2023-12-19 05:22:52.764+00
FKID191496,12.9379101,77.6176442,"1st A Main Road, KHB Colony, Block 5, Koramangala, Bengaluru, Karnataka. Pin-560095 (India)",FKN00GL157102,CAR,,"[""NO PARKING""]",[113],2023-12-18 21:48:46+00,,2023-12-18 22:00:26.421035+00,FKDEV02339,FKUSR02131,5.0,Adugodi,True,No Junction,,,FKN00GL157102,CAR,approved,2023-12-21 04:46:26.306+00
FKID283146,12.9371739,77.6269821,"Srinivagilu Main Road, Sony World Junction, Koramangala, Bengaluru, Karnataka. Pin-560034 (India)",FKN00GL222550,MOTOR CYCLE,,"[""WRONG PARKING""]",[112],2023-11-25 23:40:46+00,,2023-11-25 23:42:09.080594+00,FKDEV01235,FKUSR01181,5.0,Adugodi,True,No Junction,,,FKN00GL222550,MOTOR CYCLE,rejected,2023-11-29 05:33:21.007+00
FKID030657,12.9430954,77.6077613,"Hosur Road, Adugodi, Bengaluru, Karnataka. Pin-560030 (India)",FKN00GL28006,SCOOTER,,"[""NO PARKING"",""WRONG PARKING"",""PARKING IN A MAIN ROAD""]","[113,112,107]",2024-03-31 01:39:46+00,,2024-03-31 01:55:02.630044+00,FKDEV01406,FKUSR01440,5.0,Adugodi,True,BTP133 - Adugodi Junction,,2024-04-18 18:01:39.849438+00,,,,
FKID031289,12.9248883,77.6334067,"Sarjapur Marathahalli Road, SBI Colony, Koramangala, Bengaluru, Karnataka. Pin-560034 (India)",FKN00GL28571,CAR,,"[""NO PARKING""]",[113],2024-02-09 00:44:46+00,,2024-02-09 00:49:15.76436+00,FKDEV01314,FKUSR01253,5.0,Adugodi,True,No Junction,,,FKN00GL28571,CAR,rejected,2024-02-10 01:25:07.447+00
FKID066843,12.93953,77.6256587,"Srinivagilu Main Road, Patel Narayana Reddy Layout, Koramangala, Bengaluru, Karnataka. Pin-560095 (India)",FKN00GL58357,CAR,,"[""NO PARKING""]",[113],2024-02-24 05:07:46+00,,2024-02-24 05:14:51.424774+00,FKDEV01235,FKUSR01181,5.0,Adugodi,True,No Junction,,,,,,
FKID200784,12.9327065,77.631308,"Srinivagilu Main Road, ST Bed Layout Extension, Block 4, Koramangala, Bengaluru, Karnataka. Pin-560034 (India)",FKN00GL164056,MOTOR CYCLE,,"[""NO PARKING""]",[113],2023-12-22 21:54:46+00,,2023-12-22 22:02:50.351702+00,FKDEV01314,FKUSR01253,5.0,Adugodi,True,No Junction,,,FKN00GL164056,MOTOR CYCLE,approved,2023-12-24 01:30:46.575+00
FKID083410,12.9316431,77.6324268,"Srinivagilu Main Road, ST Bed Layout Extension, Block 4, Koramangala, Bengaluru, Karnataka. Pin-560034 (India)",FKN00GL71897,CAR,,"[""NO PARKING""]",[113],2024-04-07 07:07:46+00,,2024-04-07 07:09:44.882592+00,FKDEV01314,FKUSR01253,5.0,Adugodi,False,No Junction,,,,,,
FKID135172,12.9448651,77.6027373,"Bannerghatta Main Road, Mythreyi Naimisha, Adugodi, Bengaluru, Karnataka. Pin-560030 (India)",FKN00GL112680,MOTOR CYCLE,,"[""NO PARKING""]",[113],2023-12-02 00:17:46+00,,2023-12-02 02:22:37.802031+00,FKDEV00119,FKUSR00120,5.0,Adugodi,True,BTP134 - Mico Bande,,,FKN00GL112680,MOTOR CYCLE,rejected,2023-12-02 22:35:35.131+00
FKID201852,12.9363281,77.616174,"20th Main Road, Block 7, Koramangala, Bengaluru, Karnataka. Pin-560095 (India)",FKN00GL164877,SCOOTER,,"[""NO PARKING""]",[113],2023-12-25 01:58:46+00,,2023-12-25 09:58:37.247871+00,FKDEV01519,FKUSR01442,5.0,Adugodi,True,BTP135 - UCO Bank Junction,,,FKN00GL164877,SCOOTER,approved,2023-12-25 22:39:03.845+00
FKID254229,12.935192,77.6142347,"20th Main Road, Block 7, Koramangala, Bengaluru, Karnataka. Pin-560095 (India)",FKN00GL202574,CAR,,"[""NO PARKING""]",[113],2024-01-19 06:24:46+00,,2024-01-19 06:53:29.622897+00,FKDEV00902,FKUSR00867,5.0,Adugodi,True,BTP135 - UCO Bank Junction,,,FKN00GL202574,CAR,approved,2024-01-19 23:31:07.383+00
FKID141784,12.9422845,77.6128805,"5th Cross Road, Nandi Enclave, Adugodi Police Quarters, Adugodi, Bengaluru, Karnataka. Pin-560030 (India)",FKN00GL118134,CAR,,"[""PARKING IN A MAIN ROAD"",""WRONG PARKING""]","[107,112]",2023-12-05 02:15:46+00,,2023-12-05 20:52:57.667562+00,FKDEV00092,FKUSR00092,5.0,Adugodi,True,No Junction,,,FKN00GL118134,CAR,approved,2023-12-06 23:40:29.197+00
FKID240505,12.9320292,77.6320445,"Srinivagilu Main Road, ST Bed Layout Extension, Block 4, Koramangala, Bengaluru, Karnataka. Pin-560034 (India)",FKN00GL192861,MOTOR CYCLE,,"[""NO PARKING""]",[113],2024-03-23 21:10:46+00,,2024-03-24 01:04:11.591933+00,FKDEV01314,FKUSR01253,5.0,Adugodi,True,No Junction,,2024-04-10 20:48:25.946904+00,,,,
FKID149239,12.9452755,77.6025888,"Bannerghatta Main Road, Mythreyi Naimisha, Adugodi, Bengaluru, Karnataka. Pin-560030 (India)",FKN00GL124269,CAR,,"[""WRONG PARKING""]",[112],2023-11-12 05:40:46+00,,2023-11-12 05:53:10.198139+00,FKDEV00745,FKUSR00718,5.0,Adugodi,True,BTP134 - Mico Bande,,,FKN00GL124269,CAR,approved,2023-11-16 05:35:54.466+00
FKID033430,12.9329004,77.631406,"Srinivagilu Main Road, ST Bed Layout Extension, Block 4, Koramangala, Bengaluru, Karnataka. Pin-560034 (India)",FKN00GL30465,MOTOR CYCLE,,"[""NO PARKING""]",[113],2024-02-09 23:56:46+00,,2024-02-10 00:03:06.120632+00,FKDEV01314,FKUSR01253,5.0,Adugodi,True,No Junction,,,,,,
FKID071505,12.937911,77.626397,"Srinivagilu Main Road, Sony World Junction, Koramangala, Bengaluru, Karnataka. Pin-560034 (India)",FKN00GL62255,SCOOTER,,"[""NO PARKING""]",[113],2024-02-25 20:03:46+00,,2024-02-25 20:38:00.436275+00,FKDEV01314,FKUSR01253,5.0,Adugodi,True,No Junction,,,,,,
FKID005280,12.9340836,77.6126339,"17th Main Road, UCO Bank Junction, Koramangala, Bengaluru, Karnataka. Pin-560095 (India)",FKN00GL5148,SCOOTER,,"[""WRONG PARKING""]",[112],2024-03-12 00:19:46+00,,2024-03-12 00:21:24.895836+00,FKDEV00374,FKUSR00370,5.0,Adugodi,False,BTP135 - UCO Bank Junction,,,,,,
FKID233701,12.9360891,77.6157637,"20th Main Road, Block 7, Koramangala, Bengaluru, Karnataka. Pin-560095 (India)",FKN00GL188228,MOTOR CYCLE,,"[""NO PARKING""]",[113],2024-01-06 04:19:46+00,,2024-01-06 04:24:30.051951+00,FKDEV00998,FKUSR00957,5.0,Adugodi,True,BTP135 - UCO Bank Junction,,,FKN00GL188228,MOTOR CYCLE,approved,2024-01-06 22:55:19.761+00
FKID116726,12.9337092,77.6302547,"Bunny Bar, 749, 80 Feet Road, Green Leaf Layout, Kormangala East, Bengaluru South City Corporation, Bengaluru, Bangalore South, Bengaluru Urban, Karnataka, 560034, India",FKN00GL97866,CAR,,"[""NO PARKING""]",[113],2024-02-09 21:53:46+00,,2024-02-09 22:11:42.615026+00,FKDEV01314,FKUSR01253,5.0,Adugodi,True,No Junction,,,FKN00GL97866,CAR,rejected,2024-03-19 04:31:10.855+00
FKID022885,12.970148,77.6066908,"Brigade Road, St Patricks Complex, Ashok Nagar, Bengaluru, Karnataka. Pin-560025 (India)",FKN00GL21366,SCOOTER,,"[""NO PARKING""]",[113],2024-02-06 02:59:46+00,,2024-02-06 03:01:26.379733+00,FKDEV00860,FKUSR00829,8.0,Ashok Nagar,True,No Junction,,,,,,
FKID211179,12.9697253,77.606891,"Markham Road, St Patricks Complex, Ashok Nagar, Bengaluru, Karnataka. Pin-560025 (India)",FKN00GL155037,JEEP,,"[""NO PARKING""]",[113],2023-12-29 19:47:46+00,,2023-12-29 20:13:09.245008+00,FKDEV01464,FKUSR01389,8.0,Ashok Nagar,True,No Junction,,,FKN00GL155037,JEEP,approved,2023-12-30 02:37:47.494+00
FKID287307,12.9621186,77.5959972,"Andree Road, Bheemanna Garden, Shanti Nagar, Bengaluru, Karnataka. Pin-560027 (India)",FKN00GL1554,SCOOTER,,"[""NO PARKING""]",[113],2023-12-25 22:33:46+00,,2023-12-25 22:35:09.426452+00,FKDEV00297,FKUSR00296,8.0,Ashok Nagar,True,"BTP101 - Blood Bank Circle, KH Road",,,FKN00GL1554,SCOOTER,approved,2024-01-02 04:04:33.935+00
FKID078903,12.9618914,77.5989041,"O Shaughnessy Road, Divyasree Chambers, Langford Garden, Richmond Town, Bengaluru, Karnataka. Pin-560025 (India)",FKN00GL60103,MOTOR CYCLE,,"[""NO PARKING""]",[113],2024-02-29 01:22:46+00,,2024-02-29 01:23:42.629406+00,FKDEV00297,FKUSR00296,8.0,Ashok Nagar,True,BTP172 - Nanjappa Circle,,,,,,
FKID021249,12.9743822,77.6094154,"Residency Road, Cauvery Junction, Shanthala Nagar, Bengaluru, Karnataka. Pin-560001 (India)",FKN00GL19927,CAR,,"[""NO PARKING""]",[113],2024-02-05 04:25:46+00,,2024-02-05 04:33:09.340156+00,FKDEV01525,FKUSR01447,8.0,Ashok Nagar,True,No Junction,,,,,,
FKID234448,12.9701511,77.6066547,"Brigade Road, St Patricks Complex, Ashok Nagar, Bengaluru, Karnataka. Pin-560025 (India)",FKN00GL188725,SCOOTER,,"[""NO PARKING""]",[113],2024-01-04 23:07:46+00,,2024-01-04 23:08:54.175702+00,FKDEV00860,FKUSR00829,8.0,Ashok Nagar,True,No Junction,,,FKN00GL188725,SCOOTER,approved,2024-01-05 22:59:31.934+00
FKID266633,12.9620317,77.5990067,"O Shaughnessy Road, Divyasree Chambers, Langford Garden, Richmond Town, Bengaluru, Karnataka. Pin-560025 (India)",FKN00GL68222,SCOOTER,,"[""NO PARKING""]",[113],2024-01-23 06:24:46+00,,2024-01-23 06:27:13.485911+00,FKDEV00749,FKUSR00722,8.0,Ashok Nagar,True,BTP172 - Nanjappa Circle,,,FKN00GL68222,SCOOTER,rejected,2024-01-28 07:11:37.395+00
FKID151134,12.9742213,77.60774,"Brigade Road, Cauvery Junction, Shanthala Nagar, Bengaluru, Karnataka. Pin-560001 (India)",FKN00GL125834,SCOOTER,,"[""WRONG PARKING""]",[112],2023-11-13 05:56:46+00,,2023-11-13 06:10:38.35045+00,FKDEV01525,FKUSR01447,8.0,Ashok Nagar,True,No Junction,,,FKN00GL125834,CAR,approved,2023-11-16 03:07:07.351+00
FKID012618,12.9735339,77.6093436,"Residency Road, ACR Towers, Shanthala Nagar, Bengaluru, Karnataka. Pin-560001 (India)",FKN00GL11920,CAR,,"[""NO PARKING""]",[113],2024-02-04 04:37:46+00,,2024-02-04 05:59:14.650758+00,FKDEV01021,FKUSR00978,8.0,Ashok Nagar,False,No Junction,,,,,,
FKID208776,12.9616269,77.5959789,"Andree Road, Bheemanna Garden, Shanti Nagar, Bengaluru, Karnataka. Pin-560027 (India)",FKN00GL170012,SCOOTER,,"[""NO PARKING""]",[113],2023-12-28 22:46:46+00,,2023-12-28 22:47:55.992247+00,FKDEV00297,FKUSR00296,8.0,Ashok Nagar,False,"BTP101 - Blood Bank Circle, KH Road",,,,,,
FKID056306,12.9659694,77.6156259,"Victoria Road, Victoria Layout, Bengaluru, Karnataka. Pin-560047 (India)",FKN00GL49843,CAR,,"[""NO PARKING"",""PARKING ON FOOTPATH"",""PARKING IN A MAIN ROAD""]","[113,105,107]",2024-02-17 01:11:46+00,,2024-02-20 03:54:04.427802+00,FKDEV01126,FKUSR01073,8.0,Ashok Nagar,True,BTP141 - Palmgroove Junction,,,,,,
FKID086741,12.9702219,77.6101033,"Magrath Road, Garuda Mall, Ashok Nagar, Bengaluru, Karnataka. Pin-560025 (India)",FKN00GL12555,PASSENGER AUTO,,"[""NO PARKING""]",[113],2024-03-03 04:40:46+00,,2024-03-03 06:19:27.63395+00,FKDEV00186,FKUSR00186,8.0,Ashok Nagar,True,No Junction,,,,,,
FKID293612,12.9624551,77.5984384,"Cronwell Road, Vaswani Centropolis, Bheemanna Garden, Shanti Nagar, Bengaluru, Karnataka. Pin-560027 (India)",FKN00GL219444,SCOOTER,,"[""NO PARKING""]",[113],2023-11-22 05:00:46+00,,2023-11-22 05:02:43.747069+00,FKDEV00297,FKUSR00296,8.0,Ashok Nagar,False,BTP100 - Richmond Circle,,,,,,
